,Mango Production,Apple Production,Rambutan Production,Durian Production,Papaya Production,Watermelon Production,Avocado Production,Guava Production,Banana,Duku,Orange/Tangerine,Pomelo,"Orange, pomelo",Mango Consumption,Apple Consumption,Rambutan Consumption,"Duku, langsat",Durian Consumption,Ambon banana,Papaya Consumption,Watermelon Consumption,Avocado Consumption,Guava Consumption
Mango Production,1.0,0.9539949422534526,0.8394067834859928,0.862175512652582,0.9151112722309657,0.8751592120176563,0.780423671895412,0.8986552973839991,0.9041577075064726,0.4863366403068659,0.8522127476612021,0.8911235032316015,0.034712498464825346,-0.3092858814751896,0.10821712701337004,0.29357791616849915,0.028343258303473548,-0.1351798319026332,0.138028975348542,0.24232594855403566,-0.08317744316727835,0.08394367983337175,0.4691460957678907
Apple Production,0.9539949422534526,1.0,0.7037902708291957,0.8339149761693726,0.8595980878781422,0.8262165083818992,0.6731901160970447,0.7569914900722542,0.9407787245776932,0.6932498896572394,0.9934481385759877,0.9146800601048957,-0.23169522200179324,-0.3349218646837046,0.02452936643579899,0.48004030488358945,0.056965365876188764,0.0018940097529324548,-0.10266283347053251,0.4451271907786276,0.16814280350166805,-0.098109501141815,0.32021715833214603
Rambutan Production,0.8394067834859928,0.7037902708291957,1.0,0.7835245475662823,0.8663856704867084,0.7660405350299517,0.8808867933159304,0.9549354529264196,0.8526210073643021,0.5464245096320294,0.5782547960107284,0.7595055780145303,0.19754541815387952,-0.33983689556284863,0.10514923718582757,0.38200413224222285,0.055269809383658185,-0.1685222174687787,0.26987641903332,0.21473725011098757,-0.09527109345124089,0.04864870579736097,0.516349598682002
Durian Production,0.862175512652582,0.8339149761693726,0.7835245475662823,1.0,0.8112559381741836,0.8680004486776498,0.8818969893966683,0.7825221494175221,0.7800581801510693,0.6331518088001896,0.837211717262733,0.8096301935129471,0.17866812684923616,-0.31914532584989447,-0.00968616203274782,0.19002427129693653,0.016365845871030155,-0.11445189891575781,0.059878250580144114,0.283992298253455,-0.03690640183071739,0.12978282291211252,0.34246713051339917
Papaya Production,0.9151112722309657,0.8595980878781422,0.8663856704867084,0.8112559381741836,1.0,0.8025065878314572,0.8470259842982586,0.9206647090594946,0.8973223537373364,0.5176181425400743,0.7449040397379196,0.8072204613437355,0.03454694284269891,-0.3775752590013266,-0.024368408771280207,0.23121428363733953,-0.03867198195836781,-0.1909926309494539,0.1714400210114624,0.19548939053566872,-0.16161104526357908,0.2888915093296321,0.5124084689771231
Watermelon Production,0.8751592120176563,0.8262165083818992,0.7660405350299517,0.8680004486776498,0.8025065878314572,1.0,0.7609072980055125,0.8245281187323299,0.8232803477912868,0.6096822710920561,0.8326509899779813,0.8141836368446854,0.21928147357104041,-0.39411117322092465,0.16958752792911697,0.14909081338320665,0.05539294881353109,-0.21973537601725227,0.08906256602158276,0.2175110090757711,0.016757624431079393,0.055399203269016595,0.5045131026549734
Avocado Production,0.780423671895412,0.6731901160970447,0.8808867933159304,0.8818969893966683,0.8470259842982586,0.7609072980055125,1.0,0.8462421412368097,0.7857416821050998,0.6255240285464545,0.6391675312308579,0.687645048145961,0.2911241479557992,-0.3809593101279503,-0.029159601557159395,0.14106215881549652,0.04901681614962784,-0.21062804836329926,0.2113857415309791,0.2971372459645051,-0.05383846891232044,0.2421818459264929,0.4413783094916114
Guava Production,0.8986552973839991,0.7569914900722542,0.9549354529264196,0.7825221494175221,0.9206647090594946,0.8245281187323299,0.8462421412368097,1.0,0.898139796946846,0.5521912677845933,0.6454430738348889,0.7964932140634357,0.10639089772291459,-0.328454855093663,0.06337839914154841,0.3488047170585731,0.06979163582434249,-0.17497839207868682,0.2759391961619778,0.2133401241715647,-0.13094028320451864,0.06891184294589141,0.5606904033397319
Banana,0.9041577075064726,0.9407787245776932,0.8526210073643021,0.7800581801510693,0.8973223537373364,0.8232803477912868,0.7857416821050998,0.898139796946846,1.0,0.5446278424980389,0.7552713546413967,0.7720955909305431,0.09890709294730893,-0.3774737370245493,0.06923984405534624,0.23516015644708702,-0.04312804008035899,-0.20885939120850625,0.2711957305582482,0.24530673616596527,-0.11247876293941045,0.08126459305040115,0.4778847731548972
Duku,0.4863366403068659,0.6932498896572394,0.5464245096320294,0.6331518088001896,0.5176181425400743,0.6096822710920561,0.6255240285464545,0.5521912677845933,0.5446278424980389,1.0,0.5343998357202191,0.6018372101393128,0.1677372627008988,-0.20535864289257286,-0.1995299247012393,0.22029876226330206,0.027743940005465918,-0.012309791808051366,-0.10671184834603366,0.06272911017249473,0.02906316873124639,-0.017437429025375165,0.13812257349743445
Orange/Tangerine,0.8522127476612021,0.9934481385759877,0.5782547960107284,0.837211717262733,0.7449040397379196,0.8326509899779813,0.6391675312308579,0.6454430738348889,0.7552713546413967,0.5343998357202191,1.0,0.7457737458082226,0.11088342988370191,-0.3079449118443438,0.06614087277207774,0.035165928654386884,-0.10625087663295311,-0.14602284774247803,-0.07859622597705039,0.17512467535914428,0.07024738372752154,0.10752768152195435,0.26267737404226815
Pomelo,0.8911235032316015,0.9146800601048957,0.7595055780145303,0.8096301935129471,0.8072204613437355,0.8141836368446854,0.687645048145961,0.7964932140634357,0.7720955909305431,0.6018372101393128,0.7457737458082226,1.0,-0.049762809250244434,-0.18285910338581438,0.04424565052457471,0.4521721010836581,0.04028276150548796,-0.05781523758090675,0.013360428181586352,0.12287817735899254,-0.06943508501084354,0.01854755365444597,0.3480661558056544
"Orange, pomelo",0.034712498464825346,-0.23169522200179324,0.19754541815387952,0.17866812684923616,0.03454694284269891,0.21928147357104041,0.2911241479557992,0.10639089772291459,0.09890709294730893,0.1677372627008988,0.11088342988370191,-0.049762809250244434,1.0,-0.353010476130306,0.3771220006102134,-0.2528069930225786,0.08018384017592016,-0.49694012199172605,0.2867348328054029,0.2410786461798152,0.3760198908596474,0.2904068703880191,0.267823118865102
Mango Consumption,-0.3092858814751896,-0.3349218646837046,-0.33983689556284863,-0.31914532584989447,-0.3775752590013266,-0.39411117322092465,-0.3809593101279503,-0.328454855093663,-0.3774737370245493,-0.20535864289257286,-0.3079449118443438,-0.18285910338581438,-0.353010476130306,1.0,-0.08734967551681906,0.04311831587489223,0.12741816145669324,0.42594913403249524,-0.234164845429435,-0.2361148362063334,0.040016334187673086,-0.25931448693610576,-0.5077587592146086
Apple Consumption,0.10821712701337004,0.02452936643579899,0.10514923718582757,-0.00968616203274782,-0.024368408771280207,0.16958752792911697,-0.029159601557159395,0.06337839914154841,0.06923984405534624,-0.1995299247012393,0.06614087277207774,0.04424565052457471,0.3771220006102134,-0.08734967551681906,1.0,0.12116530815765929,-0.1585398319421622,-0.4308332610429307,0.22316539199386987,0.3278143601855881,0.12479803009390936,-0.06887484324620621,0.3003951949083246
Rambutan Consumption,0.29357791616849915,0.48004030488358945,0.38200413224222285,0.19002427129693653,0.23121428363733953,0.14909081338320665,0.14106215881549652,0.3488047170585731,0.23516015644708702,0.22029876226330206,0.035165928654386884,0.4521721010836581,-0.2528069930225786,0.04311831587489223,0.12116530815765929,1.0,0.2089866103412491,0.32635205921051086,0.12989126029431491,0.09570660230764465,-0.5432068444841005,-0.19460769538323228,0.18486896699208674
"Duku, langsat",0.028343258303473548,0.056965365876188764,0.055269809383658185,0.016365845871030155,-0.03867198195836781,0.05539294881353109,0.04901681614962784,0.06979163582434249,-0.04312804008035899,0.027743940005465918,-0.10625087663295311,0.04028276150548796,0.08018384017592016,0.12741816145669324,-0.1585398319421622,0.2089866103412491,1.0,0.5295136654400244,0.15968209564317762,0.02869855307393406,-0.21208637820186388,0.07529584747630672,0.11682944164314699
Durian Consumption,-0.1351798319026332,0.0018940097529324548,-0.1685222174687787,-0.11445189891575781,-0.1909926309494539,-0.21973537601725227,-0.21062804836329926,-0.17497839207868682,-0.20885939120850625,-0.012309791808051366,-0.14602284774247803,-0.05781523758090675,-0.49694012199172605,0.42594913403249524,-0.4308332610429307,0.32635205921051086,0.5295136654400244,1.0,-0.2726423906511403,-0.3130498369989479,-0.38408271129567184,-0.2778273280993828,-0.3972047048270575
Ambon banana,0.138028975348542,-0.10266283347053251,0.26987641903332,0.059878250580144114,0.1714400210114624,0.08906256602158276,0.2113857415309791,0.2759391961619778,0.2711957305582482,-0.10671184834603366,-0.07859622597705039,0.013360428181586352,0.2867348328054029,-0.234164845429435,0.22316539199386987,0.12989126029431491,0.15968209564317762,-0.2726423906511403,1.0,0.4821119625680769,-0.2506846738297816,0.35750738193573994,0.4983103847210046
Papaya Consumption,0.24232594855403566,0.4451271907786276,0.21473725011098757,0.283992298253455,0.19548939053566872,0.2175110090757711,0.2971372459645051,0.2133401241715647,0.24530673616596527,0.06272911017249473,0.17512467535914428,0.12287817735899254,0.2410786461798152,-0.2361148362063334,0.3278143601855881,0.09570660230764465,0.02869855307393406,-0.3130498369989479,0.4821119625680769,1.0,-0.19821526523429028,0.28478121958886593,0.41659797527469256
Watermelon Consumption,-0.08317744316727835,0.16814280350166805,-0.09527109345124089,-0.03690640183071739,-0.16161104526357908,0.016757624431079393,-0.05383846891232044,-0.13094028320451864,-0.11247876293941045,0.02906316873124639,0.07024738372752154,-0.06943508501084354,0.3760198908596474,0.040016334187673086,0.12479803009390936,-0.5432068444841005,-0.21208637820186388,-0.38408271129567184,-0.2506846738297816,-0.19821526523429028,1.0,-0.2097294854492129,-0.2481602442511204
Avocado Consumption,0.08394367983337175,-0.098109501141815,0.04864870579736097,0.12978282291211252,0.2888915093296321,0.055399203269016595,0.2421818459264929,0.06891184294589141,0.08126459305040115,-0.017437429025375165,0.10752768152195435,0.01854755365444597,0.2904068703880191,-0.25931448693610576,-0.06887484324620621,-0.19460769538323228,0.07529584747630672,-0.2778273280993828,0.35750738193573994,0.28478121958886593,-0.2097294854492129,1.0,0.33913651042158033
Guava Consumption,0.4691460957678907,0.32021715833214603,0.516349598682002,0.34246713051339917,0.5124084689771231,0.5045131026549734,0.4413783094916114,0.5606904033397319,0.4778847731548972,0.13812257349743445,0.26267737404226815,0.3480661558056544,0.267823118865102,-0.5077587592146086,0.3003951949083246,0.18486896699208674,0.11682944164314699,-0.3972047048270575,0.4983103847210046,0.41659797527469256,-0.2481602442511204,0.33913651042158033,1.0
